,CouponID,CouponCode,Discount,ExpiryDate,Status
0,CUPNXX-ID1,EBuTFmsA,24%,2025-04-05,Used
1,CUPNXX-ID2,C9uHmutp,15%,2024-12-08,Unused
2,CUPNXX-ID3,f959hraT,6%,2025-02-04,Active
3,CUPNXX-ID4,#NAME?,16%,2026-03-06,Used
4,CUPNXX-ID5,nwQoyKYd,43%,2024-07-23,Unused
5,CUPNXX-ID6,av0MmDHl,32%,2026-02-21,Used
6,CUPNXX-ID7,QcP3Lwt7,41%,2025-11-20,Active
7,CUPNXX-ID8,26WIPeOm,6%,2025-11-26,Unused
8,CUPNXX-ID9,LPLihMXi,25%,2025-04-19,Unused
9,CUPNXX-ID10,cJOrLxto,31%,2025-05-26,Active
10,CUPNXX-ID11,QcP3Lwt7,39%,2024-06-16,Active
11,CUPNXX-ID12,7hq82lNh,13%,2026-03-14,Active
12,CUPNXX-ID13,_8_zA-j4,16%,2025-08-25,Active
13,CUPNXX-ID14,av0MmDHl,32%,2025-11-02,Unused
14,CUPNXX-ID15,cJOrLxto,30%,2024-04-15,Used
15,CUPNXX-ID16,KLRyJRFm,16%,2024-11-08,Active
16,CUPNXX-ID17,pgbqr5iA,17%,2024-08-11,Unused
17,CUPNXX-ID18,fS-iX2A9,25%,2026-02-07,Active
18,CUPNXX-ID19,#NAME?,28%,2025-11-02,Unused
19,CUPNXX-ID20,#NAME?,31%,2025-04-20,Active
20,CUPNXX-ID21,4GhUfOIC,42%,2025-06-19,Active
21,CUPNXX-ID22,i8qksTR7,43%,2024-09-22,Used
22,CUPNXX-ID23,bZVauVRq,12%,2025-01-20,Unused
23,CUPNXX-ID24,pUklKslA,8%,2024-09-02,Used
24,CUPNXX-ID25,_8_zA-j4,12%,2025-03-25,Active
25,CUPNXX-ID26,YJ_RtCzG,17%,2025-03-15,Unused
26,CUPNXX-ID27,YJ_RtCzG,12%,2025-10-30,Used
27,CUPNXX-ID28,bZVauVRq,50%,2024-05-18,Active
28,CUPNXX-ID29,LPLihMXi,4%,2024-11-05,Unused
29,CUPNXX-ID30,ya8fRiHn,33%,2025-12-30,Used
30,CUPNXX-ID31,etXMIli-,47%,2025-01-31,Unused
31,CUPNXX-ID32,pgbqr5iA,35%,2024-05-23,Unused
32,CUPNXX-ID33,plpAQqfp,22%,2025-05-12,Unused
33,CUPNXX-ID34,aqKkEP7q,7%,2024-07-09,Unused
34,CUPNXX-ID35,av0MmDHl,14%,2025-10-25,Unused
35,CUPNXX-ID36,f959hraT,15%,2026-02-07,Unused
36,CUPNXX-ID37,7hq82lNh,32%,2025-08-06,Unused
37,CUPNXX-ID38,C9uHmutp,8%,2024-08-12,Used
38,CUPNXX-ID39,7hq82lNh,47%,2025-06-24,Unused
39,CUPNXX-ID40,bsbAexn6,28%,2025-07-03,Used
40,CUPNXX-ID41,VHvhUUJB,34%,2025-05-02,Unused
41,CUPNXX-ID42,KvoDl0Qo,19%,2025-05-24,Active
42,CUPNXX-ID43,i8qksTR7,47%,2025-03-19,Unused
43,CUPNXX-ID44,w7rTDJBF,19%,2024-12-04,Active
44,CUPNXX-ID45,pUklKslA,4%,2025-02-11,Active
45,CUPNXX-ID46,FnNbj3WT,8%,2024-12-12,Used
46,CUPNXX-ID47,KvoDl0Qo,44%,2024-03-27,Active
47,CUPNXX-ID48,aqKkEP7q,14%,2024-12-01,Active
48,CUPNXX-ID49,Uz6SnVY8,29%,2024-08-23,Active
49,CUPNXX-ID50,3CJLjozf,36%,2024-08-05,Active
50,CUPNXX-ID51,bZVauVRq,29%,2024-09-07,Used
51,CUPNXX-ID52,LPLihMXi,25%,2025-11-21,Used
52,CUPNXX-ID53,7zwKWCsI,11%,2024-04-29,Unused
53,CUPNXX-ID54,a5pqIIA3,41%,2024-07-22,Active
54,CUPNXX-ID55,BS6iX0H0,48%,2024-11-29,Active
55,CUPNXX-ID56,oTL7hUCP,20%,2025-07-02,Active
56,CUPNXX-ID57,cJOrLxto,30%,2025-10-18,Active
57,CUPNXX-ID58,hco6BTAp,44%,2024-05-03,Active
58,CUPNXX-ID59,fS-iX2A9,22%,2025-09-21,Used
59,CUPNXX-ID60,av0MmDHl,22%,2025-01-03,Active
60,CUPNXX-ID61,a5pqIIA3,9%,2025-09-09,Unused
61,CUPNXX-ID62,C9uHmutp,5%,2024-09-01,Active
62,CUPNXX-ID63,FnNbj3WT,44%,2025-07-11,Used
63,CUPNXX-ID64,U8gGPyv1,6%,2024-06-07,Used
64,CUPNXX-ID65,U8gGPyv1,27%,2025-12-06,Unused
65,CUPNXX-ID66,yWYOpTus,50%,2024-05-15,Unused
66,CUPNXX-ID67,f959hraT,41%,2025-01-20,Used
67,CUPNXX-ID68,7ZrBeuaZ,35%,2025-01-19,Active
68,CUPNXX-ID69,w7rTDJBF,6%,2026-03-06,Active
69,CUPNXX-ID70,FnNbj3WT,23%,2025-03-16,Used
70,CUPNXX-ID71,hco6BTAp,6%,2026-02-06,Active
71,CUPNXX-ID72,U8gGPyv1,29%,2024-09-14,Active
72,CUPNXX-ID73,C9uHmutp,20%,2026-03-14,Active
73,CUPNXX-ID74,KvoDl0Qo,40%,2024-12-29,Used
74,CUPNXX-ID75,a5pqIIA3,13%,2024-11-12,Used
75,CUPNXX-ID76,LPLihMXi,29%,2025-10-04,Unused
76,CUPNXX-ID77,YuC2cYFU,50%,2024-09-02,Used
77,CUPNXX-ID78,C9uHmutp,21%,2024-09-20,Unused
78,CUPNXX-ID79,7hq82lNh,8%,2024-11-29,Unused
79,CUPNXX-ID80,fS-iX2A9,23%,2025-09-01,Unused
80,CUPNXX-ID81,UwrUxelq,21%,2025-12-07,Unused
81,CUPNXX-ID82,ya8fRiHn,43%,2024-03-25,Unused
82,CUPNXX-ID83,EBuTFmsA,4%,2025-05-12,Used
83,CUPNXX-ID84,YJ_RtCzG,15%,2025-11-06,Unused
84,CUPNXX-ID85,26WIPeOm,31%,2025-12-03,Active
85,CUPNXX-ID86,bZVauVRq,34%,2025-12-03,Unused
86,CUPNXX-ID87,#NAME?,42%,2025-08-08,Used
87,CUPNXX-ID88,7ZrBeuaZ,38%,2024-10-22,Unused
88,CUPNXX-ID89,f959hraT,45%,2024-07-03,Used
89,CUPNXX-ID90,pgbqr5iA,49%,2024-10-30,Used
90,CUPNXX-ID91,7ZrBeuaZ,12%,2025-04-22,Unused
91,CUPNXX-ID92,7hq82lNh,43%,2025-11-20,Used
92,CUPNXX-ID93,3CJLjozf,12%,2025-01-03,Active
93,CUPNXX-ID94,i8qksTR7,46%,2025-06-14,Unused
94,CUPNXX-ID95,BcO91S2L,9%,2024-12-13,Active
95,CUPNXX-ID96,#NAME?,28%,2024-05-26,Active
96,CUPNXX-ID97,BS6iX0H0,6%,2025-08-03,Used
97,CUPNXX-ID98,bZVauVRq,17%,2025-12-07,Unused
98,CUPNXX-ID99,YJ_RtCzG,8%,2025-04-10,Active
99,CUPNXX-ID100,7hq82lNh,15%,2025-07-25,Active
100,CUPNXX-ID101,4GhUfOIC,36%,2024-08-29,Used
101,CUPNXX-ID102,etXMIli-,29%,2025-06-01,Active
102,CUPNXX-ID103,C9uHmutp,31%,2024-05-20,Unused
103,CUPNXX-ID104,UwrUxelq,14%,2025-06-13,Used
104,CUPNXX-ID105,f959hraT,15%,2024-10-03,Unused
105,CUPNXX-ID106,bsbAexn6,23%,2025-02-01,Used
106,CUPNXX-ID107,Uz6SnVY8,28%,2025-02-01,Active
107,CUPNXX-ID108,QcP3Lwt7,26%,2025-04-06,Active
108,CUPNXX-ID109,7zwKWCsI,34%,2024-03-31,Used
109,CUPNXX-ID110,BcO91S2L,35%,2025-09-29,Active
110,CUPNXX-ID111,fS-iX2A9,42%,2024-07-11,Unused
111,CUPNXX-ID112,bsbAexn6,50%,2026-03-05,Used
112,CUPNXX-ID113,I-Kbebw-,10%,2025-03-25,Unused
113,CUPNXX-ID114,cJOrLxto,23%,2024-07-29,Unused
114,CUPNXX-ID115,hco6BTAp,4%,2025-04-17,Active
115,CUPNXX-ID116,fS-iX2A9,41%,2025-03-24,Active
