ProductID,CategoryID,Categories,Products,Prices,StockQuantity
PRODOXIID0,CATOID00XX1,Produce,Apple,2.97,15
PRODOXIID1,CATOID00XX1,Produce,Banana,2.02,25
PRODOXIID2,CATOID00XX1,Produce,Carrots,12.5,7
PRODOXIID3,CATOID00XX1,Produce,Lettuce,2.97,0
PRODOXIID4,CATOID00XX1,Produce,Tomato,20.75,28
PRODOXIID5,CATOID00XX1,Produce,Potato,30.35,19
PRODOXIID6,CATOID00XX1,Produce,Onions,46.99,23
PRODOXIID7,CATOID00XX1,Produce,Spinach,1.98,28
PRODOXIID8,CATOID00XX1,Produce,Oranges,49.89,8
PRODOXIID9,CATOID00XX1,Produce,Broccoli,34.85,16
PRODOXIID10,CATOID00XX2,Dairy ,Milk,4.57,26
PRODOXIID11,CATOID00XX2,Dairy ,Cheese,9.29,73
PRODOXIID12,CATOID00XX2,Dairy ,Yogurt,2,53
PRODOXIID13,CATOID00XX2,Dairy ,Butter,5,83
PRODOXIID14,CATOID00XX2,Dairy ,Eggs,3,57
PRODOXIID15,CATOID00XX2,Dairy ,Cottage Cheese,4,84
PRODOXIID16,CATOID00XX2,Dairy ,Cream,2.5,93
PRODOXIID17,CATOID00XX2,Dairy ,Sour Cream,3,94
PRODOXIID18,CATOID00XX2,Dairy ,Whipped Cream,4,50
PRODOXIID19,CATOID00XX2,Dairy ,White Cream,6,28
PRODOXIID20,CATOID00XX3,Meat and Seafood,Beef,15,19
PRODOXIID21,CATOID00XX3,Meat and Seafood,Chicken,4,10
PRODOXIID22,CATOID00XX3,Meat and Seafood,Pork,6,1
PRODOXIID23,CATOID00XX3,Meat and Seafood,Fish,20,0
PRODOXIID24,CATOID00XX3,Meat and Seafood,Shrimp,15,13
PRODOXIID25,CATOID00XX3,Meat and Seafood,Lobster,20,6
PRODOXIID26,CATOID00XX3,Meat and Seafood,Sausages,8,12
PRODOXIID27,CATOID00XX3,Meat and Seafood,Ham,15,10
PRODOXIID28,CATOID00XX3,Meat and Seafood,Turkey,4,2
PRODOXIID29,CATOID00XX3,Meat and Seafood,Lamb,20,14
PRODOXIID30,CATOID00XX4,Bakery,Bread,4,73
PRODOXIID31,CATOID00XX4,Bakery,Bagels,10,33
PRODOXIID32,CATOID00XX4,Bakery,Croissants,9.5,76
PRODOXIID33,CATOID00XX4,Bakery,Donuts,6.19,68
PRODOXIID34,CATOID00XX4,Bakery,Muffins,3,56
PRODOXIID35,CATOID00XX4,Bakery,Cookies,2.5,18
PRODOXIID36,CATOID00XX4,Bakery,Brownies,2.97,59
PRODOXIID37,CATOID00XX4,Bakery,Cakes,10,17
PRODOXIID38,CATOID00XX4,Bakery,Pies,15,56
PRODOXIID39,CATOID00XX4,Bakery,Rolls,9.43,7
PRODOXIID40,CATOID00XX5,Frozen Foods,Frozen Vegetables,4.66,24
PRODOXIID41,CATOID00XX5,Frozen Foods,    Frozen Fruits,8.9,19
