RedemptionID,CustomerID,UsedCouponID,DiscountAmount,RedemptionDate
REDDEDXXID1,CUSTIDXX-65018,92445X79,198,2023-11-18
REDDEDXXID2,CUSTIDXX-94348,N4181I3D,101,2019-11-26
REDDEDXXID3,CUSTIDXX-14502,21P42DCN,187,2022-03-12
REDDEDXXID4,CUSTIDXX-2591,N4X5DX5X,60,2018-10-03
REDDEDXXID5,CUSTIDXX-74076,U24UCIX8,155,2021-02-08
REDDEDXXID6,CUSTIDXX-5712,59DDIX2X,50,2023-07-26
REDDEDXXID7,CUSTIDXX-84679,305X1XPX,44,2023-11-08
REDDEDXXID8,CUSTIDXX-44323,N8C9X491,134,2022-10-20
REDDEDXXID9,CUSTIDXX-31023,7U7N5XCX,133,2020-10-08
REDDEDXXID10,CUSTIDXX-61885,203P485I,25,2024-01-21
REDDEDXXID11,CUSTIDXX-12546,0X9P0U34,90,2018-09-22
REDDEDXXID12,CUSTIDXX-94931,CD58P6N9,191,2021-10-12
REDDEDXXID13,CUSTIDXX-93511,3C2C818C,122,2022-12-27
REDDEDXXID14,CUSTIDXX-94316,CX750067,41,2021-08-16
REDDEDXXID15,CUSTIDXX-7934,1254D476,193,2019-08-13
REDDEDXXID16,CUSTIDXX-93503,4DN5N536,145,2018-08-04
REDDEDXXID17,CUSTIDXX-75268,C42X95D0,196,2018-08-04
REDDEDXXID18,CUSTIDXX-41873,D75C6I9X,146,2018-10-16
REDDEDXXID19,CUSTIDXX-40950,171C4P9N,59,2023-04-07
REDDEDXXID20,CUSTIDXX-97320,D87X7403,178,2018-10-25
REDDEDXXID21,CUSTIDXX-2106,I33PD9X1,130,2023-11-07
REDDEDXXID22,CUSTIDXX-86740,IXN02774,120,2022-03-06
REDDEDXXID23,CUSTIDXX-67608,I271CUDX,18,2018-05-12
REDDEDXXID24,CUSTIDXX-50500,X346ND2U,177,2021-12-19
REDDEDXXID25,CUSTIDXX-63668,677I958I,173,2019-06-06
REDDEDXXID26,CUSTIDXX-14024,6U9U85X6,157,2020-10-07
REDDEDXXID27,CUSTIDXX-5305,U7XUI7PP,18,2020-09-22
REDDEDXXID28,CUSTIDXX-9207,17N6N229,121,2023-09-15
REDDEDXXID29,CUSTIDXX-10706,9436DI3C,155,2024-03-16
REDDEDXXID30,CUSTIDXX-59142,D549X5I2,81,2020-02-09
REDDEDXXID31,CUSTIDXX-77142,82I36U5I,160,2018-05-30
REDDEDXXID32,CUSTIDXX-89620,220X6X1P,175,2022-02-24
REDDEDXXID33,CUSTIDXX-36182,164X4C80,18,2023-05-01
REDDEDXXID34,CUSTIDXX-46537,641XXC92,193,2018-03-26
REDDEDXXID35,CUSTIDXX-71899,XUUX9N9U,35,2020-05-18
REDDEDXXID36,CUSTIDXX-66859,3561C138,135,2024-01-09
REDDEDXXID37,CUSTIDXX-5479,9IP20DN4,117,2023-08-13
REDDEDXXID38,CUSTIDXX-22632,29421274,67,2021-11-04
REDDEDXXID39,CUSTIDXX-5841,5CNC8311,25,2022-03-25
REDDEDXXID40,CUSTIDXX-27028,699994U6,98,2020-03-09
REDDEDXXID41,CUSTIDXX-60921,52D890C2,128,2022-06-29
REDDEDXXID42,CUSTIDXX-97201,9X51X8I5,189,2020-10-07
REDDEDXXID43,CUSTIDXX-42384,0CP2CXIP,185,2019-10-18
REDDEDXXID44,CUSTIDXX-13301,52IPU70D,78,2021-01-03
REDDEDXXID45,CUSTIDXX-74764,0U924XUX,131,2019-03-24
REDDEDXXID46,CUSTIDXX-27574,U8D30588,55,2019-09-02
REDDEDXXID47,CUSTIDXX-75345,P985XP16,36,2019-11-18
REDDEDXXID48,CUSTIDXX-47778,X5U2PUXD,74,2023-08-20
REDDEDXXID49,CUSTIDXX-8172,N4576979,196,2023-05-03
REDDEDXXID50,CUSTIDXX-27952,8NNN3I7U,161,2022-10-14
REDDEDXXID51,CUSTIDXX-11156,UCXU2425,153,2022-05-04
REDDEDXXID52,CUSTIDXX-86569,4X56XXXU,61,2021-12-26
REDDEDXXID53,CUSTIDXX-11624,9N5D4060,50,2022-05-06
REDDEDXXID54,CUSTIDXX-65934,27N68PP8,32,2019-04-09
REDDEDXXID55,CUSTIDXX-18625,4X91I855,198,2019-06-20
REDDEDXXID56,CUSTIDXX-93181,D42X60XX,162,2024-01-21
REDDEDXXID57,CUSTIDXX-43489,11PUPIN8,34,2019-12-11
REDDEDXXID58,CUSTIDXX-23999,X0D07760,121,2019-11-14
REDDEDXXID59,CUSTIDXX-12200,XX8C85D2,77,2019-02-12
REDDEDXXID60,CUSTIDXX-38764,DIUCIXIC,53,2018-04-16
REDDEDXXID61,CUSTIDXX-26592,IDN4DNX8,173,2023-10-22
REDDEDXXID62,CUSTIDXX-83040,2N03U341,30,2024-03-09
REDDEDXXID63,CUSTIDXX-9647,4892820U,55,2018-05-24
REDDEDXXID64,CUSTIDXX-36987,7P2UD4D1,17,2018-09-27
REDDEDXXID65,CUSTIDXX-91737,X8764N83,101,2020-01-26
REDDEDXXID66,CUSTIDXX-78509,8315C450,5,2020-05-28
REDDEDXXID67,CUSTIDXX-52776,5647XN42,17,2020-05-10
REDDEDXXID68,CUSTIDXX-98323,3XXD3DPU,92,2018-11-03
REDDEDXXID69,CUSTIDXX-90613,X566XD27,111,2023-10-22
REDDEDXXID70,CUSTIDXX-96164,IN643N89,54,2023-10-24
REDDEDXXID71,CUSTIDXX-43790,X3I215IU,126,2020-12-27
